group,FORMULA,STRUC_SPACEGROUP_SYM,STRUC_SPACEGROUP_NO,STRUC_CELL_LENGTH_A,STRUC_CELL_LENGTH_B,STRUC_CELL_LENGTH_C,STRUC_ALPHA,STRUC_BETA,STRUC_GAMMA,STRUC_VOLUME,COMP_ELEMENT_COUNT,COMP_PARSED FORMULA,OTHER_TEMPERATURE,OTHER_PRESSURE,OTHER_DENSITY,OTHER_DATABASE,LABEL_CTE CELL_LENGTH_A,LABEL_R^2 CELL_LENGTH_A,LABEL_CTE CELL_LENGTH_B,LABEL_R^2 CELL_LENGTH_B,LABEL_CTE CELL_LENGTH_C,LABEL_R^2 CELL_LENGTH_C,LABEL_CTE VOLUME,LABEL_R^2 VOLUME,LABEL_dir NTE,LABEL_dir NTE large,LABEL_vol NTE,LABEL_MAX CTE,LABEL_ABS MAX CTE,LABEL_MIN CTE,LABEL_ABS MIN CTE,LABEL_DEV CTE,COMP_FORMULA,COMP_oxides,COMP_carbonites,COMP_fluorides,COMP_cyonides,COMP_partly organic
Zn1.0 P63/mmc,Zn1,P63/mmc,194.0,0.26647,0.26647,0.49469,90.0,90.0,120.0,0.03042,1.0,Zn1.0,298.0,101.325,7.14,ICSD,8.737144062824205e-06,0.7999178913380668,8.737144062824205e-06,0.7999178913380668,4.412811057881724e-05,0.7999178913380668,6.231731797994302e-05,0.5840607611037504,0,0,0,4.412811057881724e-05,4.412811057881724e-05,8.737144062824205e-06,8.737144062824205e-06,3.539096651599303e-05,Zn1,0,0,0,0,0
Y1.0 P63/mmc,Y1,P63/mmc,194.0,0.36515,0.36515,0.57474,90.0,90.0,120.0,0.06637,1.0,Y1.0,298.0,101.325,4.45,ICSD,-1.1207197479512043e-05,0.8375289943447186,-1.1207197479512043e-05,0.8375289943447186,3.656258696704835e-05,0.8375289943447186,1.535272677884385e-05,0.36175470991873,1,0,0,3.656258696704835e-05,3.656258696704835e-05,-1.1207197479512043e-05,-1.1207197479512043e-05,4.776978444656039e-05,Y1,0,0,0,0,0
W1.0 Im-3m,W1,Im-3m,229.0,0.31648,0.31648,0.31648,90.0,90.0,90.0,0.0317,1.0,W1.0,298.0,101.325,19.26,ICSD,5.248729078297146e-06,0.3759989503913284,5.248729078297146e-06,0.3759989503913284,5.248729078297146e-06,0.3759989503913284,1.546338811288368e-05,0.3914890921672032,0,0,0,5.248729078297146e-06,5.248729078297146e-06,5.248729078297146e-06,5.248729078297146e-06,0.0,W1,0,0,0,0,0
V2.0Zr1.0 Fd-3mZ,V2Zr1,Fd-3mZ,227.0,0.7441,0.7441,0.7441,90.0,90.0,90.0,0.412,2.0,V2.0Zr1.0,298.0,101.325,6.23,ICSD,0.0001497757895907,0.9963469329580812,0.0001497757895907,0.9963469329580812,0.0001497757895907,0.9963469329580812,0.0004451057939163,0.996322771316003,0,0,0,0.0001497757895907,0.0001497757895907,0.0001497757895907,0.0001497757895907,0.0,V2Zr1,0,0,0,0,0
V1.0 Im-3m,V1,Im-3m,229.0,0.30297,0.30297,0.30297,90.0,90.0,90.0,0.0278099999999999,1.0,V1.0,298.0,101.325,6.08,ICSD,9.189148478001285e-06,0.571054686454976,9.189148478001285e-06,0.571054686454976,9.189148478001285e-06,0.571054686454976,2.758680567248597e-05,0.5698867405275188,0,0,0,9.189148478001285e-06,9.189148478001285e-06,9.189148478001285e-06,9.189148478001285e-06,0.0,V1,0,0,0,0,0
U1.0 P42/mnm,U1,P42/mnm,136.0,1.061,1.061,0.5645,90.0,90.0,90.0,0.63547,1.0,U1.0,298.0,101.325,18.66,ICSD,1.3265186490191897e-05,0.6998840272420088,1.3265186490191897e-05,0.6998840272420088,2.050919309450818e-06,0.6998840272420088,2.856153064439605e-05,0.7079538876494147,0,0,0,1.3265186490191897e-05,1.3265186490191897e-05,2.050919309450818e-06,2.050919309450818e-06,1.1214267180741078e-05,U1,0,0,0,0,0
U1.0 Im-3m,U1,Im-3m,229.0,0.34482,0.34482,0.34482,90.0,90.0,90.0,0.041,1.0,U1.0,298.15,0.0,19.28,ICSD,1.923611423046401e-05,0.997728295616461,1.923611423046401e-05,0.997728295616461,1.923611423046401e-05,0.997728295616461,5.724458302571263e-05,0.9974331418293874,0,0,0,1.923611423046401e-05,1.923611423046401e-05,1.923611423046401e-05,1.923611423046401e-05,0.0,U1,0,0,0,0,0
U1.0 Cmcm,U1,Cmcm,63.0,0.28542,0.58667,0.4953999999999999,90.0,90.0,90.0,0.08295,1.0,U1.0,298.0,101.325,19.06,ICSD,2.805568665277984e-05,0.8724988644458453,-5.708943252302312e-06,0.885487177789397,2.568407649811877e-05,0.885487177789397,4.769462201512291e-05,0.871089491779385,1,0,0,2.805568665277984e-05,2.805568665277984e-05,-5.708943252302312e-06,-5.708943252302312e-06,3.376462990508215e-05,U1,0,0,0,0,0
Tl1.0 P63/mmc,Tl1,P63/mmc,194.0,0.34502,0.34502,0.55135,90.0,90.0,120.0,0.05684,1.0,Tl1.0,298.15,101.325,11.94,ICSD,-7.888326885677359e-05,0.4687755916697039,-7.888326885677359e-05,0.4687755916697039,-3.177620405913592e-05,0.4687755916697039,-0.0001896496464068,0.415595246102113,1,1,1,-3.177620405913592e-05,-7.888326885677359e-05,-7.888326885677359e-05,-3.177620405913592e-05,4.710706479763768e-05,Tl1,0,0,0,0,0
Ti1.0 P63/mmc,Ti1,P63/mmc,194.0,0.29511,0.29511,0.46843,90.0,90.0,120.0,0.03533,1.0,Ti1.0,298.0,101.325,4.5,ICSD,-8.411657876008227e-06,0.6189355828565682,-8.411657876008227e-06,0.6189355828565682,6.227608513234631e-07,0.6189355828565682,-1.6782363617512286e-05,0.4140217516784863,1,0,1,6.227608513234631e-07,-8.411657876008227e-06,-8.411657876008227e-06,6.227608513234631e-07,9.03441872733169e-06,Ti1,0,0,0,0,0
Ti1.0 Im-3m,Ti1,Im-3m,229.0,0.3283,0.3283,0.3283,90.0,90.0,90.0,0.03538,1.0,Ti1.0,298.0,101.325,4.5,ICSD,1.1069770776359088e-05,0.8987400136677703,1.1069770776359088e-05,0.8987400136677703,1.1069770776359088e-05,0.8987400136677703,3.2861251681559385e-05,0.9058465407826992,0,0,0,1.1069770776359088e-05,1.1069770776359088e-05,1.1069770776359088e-05,1.1069770776359088e-05,0.0,Ti1,0,0,0,0,0
Te4.0Zr5.0 I4/m,Te4Zr5,I4/m,87.0,1.07649,1.07649,0.38403,90.0,90.0,90.0,0.445,2.0,Te4.0Zr5.0,298.0,101.325,7.21,PCD,-3.413995973321435e-05,0.7665874857692657,-3.413995973321435e-05,0.7665874857692657,-8.791595018426406e-05,0.7665874857692657,-0.0001554960712448,0.9675672109328208,1,1,1,-3.413995973321435e-05,-8.791595018426406e-05,-8.791595018426406e-05,-3.413995973321435e-05,5.3775990451049714e-05,Te4Zr5,0,0,0,0,0
Te3.0Zr1.0 P121/m1,Te3Zr1,P121/m1,11.0,0.6176,0.38254,1.00862,90.0,96.32,90.0,0.23685,2.0,Te3.0Zr1.0,298.15,101.325,6.65,ICSD,2.3937970572220742e-05,0.779307036745565,1.4252802766825038e-05,0.9290284756813408,2.5690246500176936e-05,0.9290284756813408,6.431923472637734e-05,0.8926422756237885,0,0,0,2.5690246500176936e-05,2.5690246500176936e-05,1.4252802766825038e-05,1.4252802766825038e-05,1.1437443733351896e-05,Te3Zr1,0,0,0,0,0
Te2.0U1.0 Immm,Te2U1,Immm,71.0,0.4123,0.6086,1.3812,90.0,90.0,90.0,0.34658,2.0,Te2.0U1.0,298.15,101.325,9.45,ICSD,1.2165488563489449e-05,0.8672477068120297,1.112320656626104e-05,0.9809688671830148,1.2835443417331124e-05,0.9809688671830148,3.609514070128062e-05,0.9308844643712808,0,0,0,1.2835443417331124e-05,1.2835443417331124e-05,1.112320656626104e-05,1.112320656626104e-05,1.7122368510700846e-06,Te2U1,0,0,0,0,0
Te1.0Zn1.0 F-43m,Te1Zn1,F-43m,216.0,0.61026,0.61026,0.61026,90.0,90.0,90.0,0.22727,2.0,Te1.0Zn1.0,298.0,101.325,5.64,ICSD,1.863995343678356e-05,0.7856254039547889,1.863995343678356e-05,0.7856254039547889,1.863995343678356e-05,0.7856254039547889,5.624350754766356e-05,0.7893614339604481,0,0,0,1.863995343678356e-05,1.863995343678356e-05,1.863995343678356e-05,1.863995343678356e-05,0.0,Te1Zn1,0,0,0,0,0
Te1.0Tl1.0 I4/mcm,Te1Tl1,I4/mcm,140.0,1.30204,1.30204,0.61719,90.0,90.0,90.0,1.04633,2.0,Te1.0Tl1.0,298.15,101.325,8.43,ICSD,3.3457404676812244e-05,0.9541632040744285,3.3457404676812244e-05,0.9541632040744285,2.3602706450743016e-05,0.9541632040744285,9.052833204928004e-05,0.9460577714271876,0,0,0,3.3457404676812244e-05,3.3457404676812244e-05,2.3602706450743016e-05,2.3602706450743016e-05,9.854698226069228e-06,Te1Tl1,0,0,0,0,0
Te1.0 P3121,Te1,P3121,152.0,0.4457,0.4457,0.5929,90.0,90.0,120.0,0.102,1.0,Te1.0,298.0,101.325,6.23,ICSD,-6.0458613027888566e-05,0.5039998729963383,-6.0458613027888566e-05,0.5039998729963383,-1.807286054473996e-05,0.5039998729963383,-0.0001386564215842,0.6116586239403534,1,1,1,-1.807286054473996e-05,-6.0458613027888566e-05,-6.0458613027888566e-05,-1.807286054473996e-05,4.238575248314861e-05,Te1,0,0,0,0,0
Tc1.0 P63/mmc,Tc1,P63/mmc,194.0,0.27407,0.27407,0.4397999999999999,90.0,90.0,120.0,0.02861,1.0,Tc1.0,298.0,101.325,11.49,ICSD,-2.6575983759527194e-05,0.9917709363312708,-2.6575983759527194e-05,0.9917709363312708,-2.5588680460605695e-05,0.9917709363312708,-7.855290492913995e-05,0.9258821520463776,1,1,1,-2.5588680460605695e-05,-2.6575983759527194e-05,-2.6575983759527194e-05,-2.5588680460605695e-05,9.873032989214962e-07,Tc1,0,0,0,0,0
Tb1.0Zn1.0 Pm-3m,TbZn,Pm-3m,221.0,0.3566,0.3566,0.3566,90.0,90.0,90.0,0.04535,2.0,Tb1.0Zn1.0,298.0,101.325,8.21,PCD,8.733637484727072e-06,0.4706076462158668,8.733637484727072e-06,0.4706076462158668,8.733637484727072e-06,0.4706076462158668,2.6358116540425013e-05,0.4770660873952662,0,0,0,8.733637484727072e-06,8.733637484727072e-06,8.733637484727072e-06,8.733637484727072e-06,0.0,Tb1Zn1,0,0,0,0,0
